9.632518181,11.53846154
12.51875026,11.53846154
15.6719108,11.53846154
21.14478395,10.76923077
28.52886887,10.76923077
34.40213263,10
50.02498785,8.461538462
70.06940913,6.923076923
94.53872831,4.615384615
137.4710919,1.538461538
192.5541333,-1.538461538
269.7082983,-4.615384615
337.6410829,-7.692307692
407.1515548,-10.76923077
490.9722096,-13.84615385
549.335162,-17.69230769
614.6358476,-21.53846154
687.6989702,-25.38461538
769.4472677,-22.30769231
893.7571151,-16.92307692
1077.755692,-12.30769231
1400.688179,-7.692307692
1889.83011,-3.846153846
2549.787954,0
4148.453045,4.615384615
7274.256619,9.230769231
11400.15009,13.07692308
17209.66267,16.92307692
26970.82983,20
37777.72252,23.07692308
50970.28632,25.38461538
86091.31661,30
140068.8179,32.30769231
236583.1118,33.84615385
414845.3045,35.38461538
700694.0913,35.38461538
1057767.56,35.38461538
